Customer_id,date,time,order_id,items,amount,mode,restaurnt,Status,ratings,feedback
JXJY167254JK,11/11/23,8.31.21,654S654,PiZza:Marga?ritA:WATERZOOI:Crispy Onion Rings,21,Wallet,Brussels Mussels ,Delivered,2,Late delivery
JXJY167254JK,11/11/23,9.31.21,2444454,Noodles:Pizza:BREAD,97,Card,Saint German,Delivered,3,Stale food
XVTR474839TP,11/11/23,4.31.31,397T397,Fried Rice:salaD,46,Card,Brussels Mussels ,Delivered,3,Complicated procedure
UFDF355524DM,11/11/23,5.31.21,428K428,noo%dles:,71,Card,Gaspar's,Delivered,1,Food not good
FRBT691245BA,11/11/23,6.31.21,437M437,Soup of the day:,29,Online,Sushi Masters,Delivered,1,Stale food
QTSI285174SG,11/11/23,8.31.21,106S106,Fried Rice:,59,Cash,Stebuklai,Delivered,2,Complicated procedure
OXJY167254JK,11/11/23,8.11.21,854A854,Olives:,65,Cash,Saint German,Not delivered,5,Awesome experience
SAMV824387MW,11/11/23,8.31.21,751C751,Quiche:,28,Wallet,Telegrafas,Delivered,2,Difficult to order
LRKI603654KL,11/11/23,8.31.21,742G742,Bread:,86,Card,Da Antonio,Delivered,1,Difficult to order
FRBT691245BA,11/11/23,8.31.21,103Y103,RAVIOLI:,94,Online,Augustin,Delivered,2,Late delivery
FSAM929386AQ,11/11/23,8.31.21,208U208,tuna steak:,33,Wallet,Brussels Mussels ,Delivered,2,Difficult to order
FRBT691245BA,11/11/23,8.31.21,819Q819,Regular:,86,Cash,Telegrafas,Delivered,4,Cheap and best
UFDF355524DM,11/11/23,8.31.21,107K107,fries:,50,Card,Sushi Masters,Delivered,4,Delicious food
FSAM929386AQ,11/11/23,8.31.21,671T671,BURRATA DI BUFALA:,82,Card,Gaspar's,On Hold,5,Good service
QTSI285174SG,11/11/23,8.31.21,195K195,Crispy Onion Rings:,40,Cash,Gaspar's,Delivered,1,High price
QTSI285174SG,11/11/23,8.31.21,952U952,pickle:,29,Online,Stebuklai,Delivered,3,Complicated procedure
LRKI603654KL,11/11/23,8.31.21,833E833,shake:,33,Cash,Brussels Mussels ,Delivered,3,Coupon applied
UFDF355524DM,11/11/23,8.31.21,139A139,Benedict:,69,Cash,Augustin,Delivered,1,High price
SBXX592702XP,11/11/23,8.31.21,256A256,Mango Cremeux:,92,Wallet,Da Antonio,Delivered,4,Delicious food
FRBT691245BA,11/11/23,8.31.21,186Q186,salad:,61,Online,Da Antonio,Cancelled,2,Stale food
LJBO9511000BL,11/11/23,8.31.21,956U956,Banana shake:,87,Cash,Demoloftas,Cancelled,4,Cheap and best
SAMV824387MW,11/11/23,8.31.21,506K506,salad:,37,Online,Gaspar's,Cancelled,4,Good service
LRKI603654KL,11/11/23,8.31.21,739A739,Quiche:,51,Card,Augustin,Cancelled,2,High price
OXJY167254JK,11/11/23,8.31.21,428U428,meatballs:,53,Cash,Telegrafas,Cancelled,3,Stale food
FRBT691245BA,11/11/23,8.31.21,902L902,Veg Premium Burger:,58,Wallet,Sushi Masters,Delivered,5,Good service
